"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1,30";"2017-08-02 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Fugro N.V.";"NL0000352565";"0,52";"2017-08-02 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,68";"2017-08-02 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,22";"2017-08-02 00:00:00"
"B&G Master Fund Plc";"NN Group N.V.";"NL0010773842";"0,50";"2017-07-31 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,29";"2017-07-31 00:00:00"
"Millennium International Management LP";"Galapagos N.V.";"BE0003818359";"0,51";"2017-07-31 00:00:00"
"Tybourne Equity Master Fund";"Philips Lighting N.V.";"NL0011821392";"1,81";"2017-07-31 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,81";"2017-07-28 00:00:00"
"BlackRock Institutional Trust Company, National Association";"SBM Offshore N.V.";"NL0000360618";"0,60";"2017-07-28 00:00:00"
"GSA Capital Partners LLP";"Brunel International N.V.";"NL0000343432";"0,50";"2017-07-28 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"BinckBank N.V.";"NL0000335578";"0,60";"2017-07-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,31";"2017-07-28 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,93";"2017-07-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,41";"2017-07-27 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"1,13";"2017-07-27 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,96";"2017-07-26 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"1,10";"2017-07-25 00:00:00"
"CQS (UK) LLP";"BE Semiconductor Industries N.V.";"NL0000339760";"0,84";"2017-07-25 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,81";"2017-07-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1,20";"2017-07-24 00:00:00"
"Macquarie Funds Management Hong Kong Limited";"Ordina N.V.";"NL0000440584";"0,79";"2017-07-24 00:00:00"
"Marshall Wace LLP";"Gemalto N.V.";"NL0000400653";"0,50";"2017-07-24 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0,60";"2017-07-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2,71";"2017-07-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"ARCADIS N.V.";"NL0006237562";"0,50";"2017-07-20 00:00:00"
"BlackRock Investment Management (UK) Limited";"Koninklijke BAM Groep N.V.";"NL0000337319";"1,00";"2017-07-20 00:00:00"
"Marshall Wace LLP";"PostNL N.V.";"NL0009739416";"0,59";"2017-07-20 00:00:00"
"Marshall Wace LLP";"Wereldhave N.V.";"NL0000289213";"0,79";"2017-07-20 00:00:00"
"Oxford Asset Management";"Galapagos N.V.";"BE0003818359";"0,71";"2017-07-20 00:00:00"
"AQR Capital Management, LLC";"Altice N.V.";"NL0011333752";"0,90";"2017-07-19 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Fugro N.V.";"NL0000352565";"0,50";"2017-07-19 00:00:00"
"BlackRock Investment Management (UK) Limited";"BinckBank N.V.";"NL0000335578";"1,24";"2017-07-19 00:00:00"
"GSA Capital Partners LLP";"BinckBank N.V.";"NL0000335578";"1,01";"2017-07-19 00:00:00"
"AKO Capital LLP";"TKH Group N.V.";"NL0000852523";"0,78";"2017-07-18 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1,68";"2017-07-18 00:00:00"
