Extracting raw source data: XBRU
Checking updates from 20161024 and adding to XBRU.db...

('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161025', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.68, '20161025', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161026', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.7, '20161026', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161027', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.7, '20161027', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161028', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.7, '20161028', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161029', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.7, '20161029', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161030', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.7, '20161030', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161031', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.7, '20161031', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161101', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161101', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.89, '20161101', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161102', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161102', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.89, '20161102', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161103', 'XBRU', '20170424_22h30')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161103', 'XBRU', '20170424_22h30')
('Macquarie Funds Management Hong Kong Limited', 'Nyrstar', 'BE0003876936', 0.89, '20161103', 'XBRU', '20170424_22h30')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.66, '20161104', 'XBRU', '20170424_22h30')
