Extracting raw source data: XBRU
Checking updates from 20130424 and adding to XBRU.db...

('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131031', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131101', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131102', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131103', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131104', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131105', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131106', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131107', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131107', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131108', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131108', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131109', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131109', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131110', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131110', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131111', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131111', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131112', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131112', 'XBRU', '20170424_22h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131113', 'XBRU', '20170424_22h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131113', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.64, '20141104', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141105', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141106', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141107', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141108', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141109', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141110', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141111', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141112', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.71, '20141113', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141114', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141115', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141116', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141117', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141118', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141119', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141120', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141121', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141122', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141123', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141124', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141125', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141126', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141127', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141128', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141129', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141130', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141201', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141202', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141203', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141204', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141205', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141206', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141207', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141208', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141209', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141210', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141211', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141212', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141213', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141214', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141215', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141216', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141217', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141218', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141219', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141220', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141221', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141222', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141223', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141224', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141225', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141226', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141227', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141228', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141229', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141230', 'XBRU', '20170424_22h35')
('Lansdowne Partners (UK) LLP ', 'Fagron', 'BE0003874915', 0.8, '20141231', 'XBRU', '20170424_22h35')
