Extracting raw source data: XBRU
Checking updates from 20120501 and adding to XBRU.db...

('AKO Capital LLP for AKO Master Fund Limited', 'Ahold-Delhaize Group', 'BE0003562700', 1.72, '20121217', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131031', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131101', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131102', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131103', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131104', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131105', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131106', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131107', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131107', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131108', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131108', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131109', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131109', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131110', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131110', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131111', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131111', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131112', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131112', 'XBRU', '20170501_16h35')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.8, '20131113', 'XBRU', '20170501_16h35')
('Pictet Asset Management SA', 'EVS Broadcasting', 'BE0003820371', 0.73, '20131113', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150430', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150501', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150502', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150503', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150504', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150505', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150506', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150507', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150508', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150509', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150510', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150511', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150512', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150513', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150514', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150515', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150516', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150517', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150518', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150519', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150520', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150521', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150522', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150523', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150524', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150525', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150526', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150527', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150528', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150529', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150530', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150531', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150601', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150602', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150603', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150604', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150605', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150606', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150607', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150608', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150609', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150610', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150611', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150612', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150613', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150614', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150615', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150616', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150617', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150618', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150619', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150620', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150621', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150622', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150623', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150624', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150625', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150626', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150627', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150628', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150629', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150630', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150701', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150702', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150703', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150704', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150705', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150706', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150707', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150708', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150709', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150710', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150711', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150712', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150713', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150714', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150715', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150716', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150717', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150718', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150719', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150720', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150721', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150722', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150723', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150724', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150725', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150726', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150727', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150728', 'XBRU', '20170501_16h35')
('Clearance Capital LLP', 'Befimmo', 'BE0003678894', 0.53, '20150729', 'XBRU', '20170501_16h35')
