
Importing updates of last 12 months into SourceData : XBRU.db.
Checking updates from 20160712 and adding to XBRU.db...

('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161101', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161102', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Nyrstar', 'BE0003876936', 0.71, '20161103', 'XBRU', '20170712_21h22')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.45, '20170323', 'XBRU', '20170712_21h22')
('BlackRock Institutional Trust Company, National Association', 'Ontex', 'BE0974276082', 0.59, '20170401', 'XBRU', '20170712_21h22')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.2, '20170401', 'XBRU', '20170712_21h22')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.3, '20170401', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 1.11, '20170401', 'XBRU', '20170712_21h22')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.69, '20170401', 'XBRU', '20170712_21h22')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.7, '20170401', 'XBRU', '20170712_21h22')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.67, '20170401', 'XBRU', '20170712_21h22')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 1.24, '20170401', 'XBRU', '20170712_21h22')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.71, '20170401', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.8, '20170401', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Euronav NV', 'BE0003816338', 0.6, '20170401', 'XBRU', '20170712_21h22')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.71, '20170401', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.59, '20170401', 'XBRU', '20170712_21h22')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170401', 'XBRU', '20170712_21h22')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170401', 'XBRU', '20170712_21h22')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170401', 'XBRU', '20170712_21h22')
('Monarch Alternative Capital LP', 'Euronav NV', 'BE0003816338', 1.01, '20170401', 'XBRU', '20170712_21h22')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170401', 'XBRU', '20170712_21h22')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.11, '20170401', 'XBRU', '20170712_21h22')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.8, '20170401', 'XBRU', '20170712_21h22')
('BlackRock Institutional Trust Company, National Association', 'Ontex', 'BE0974276082', 0.59, '20170402', 'XBRU', '20170712_21h22')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.2, '20170402', 'XBRU', '20170712_21h22')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.3, '20170402', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 1.11, '20170402', 'XBRU', '20170712_21h22')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.69, '20170402', 'XBRU', '20170712_21h22')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.7, '20170402', 'XBRU', '20170712_21h22')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.67, '20170402', 'XBRU', '20170712_21h22')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 1.24, '20170402', 'XBRU', '20170712_21h22')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.71, '20170402', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.8, '20170402', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Euronav NV', 'BE0003816338', 0.6, '20170402', 'XBRU', '20170712_21h22')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.71, '20170402', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.59, '20170402', 'XBRU', '20170712_21h22')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170402', 'XBRU', '20170712_21h22')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170402', 'XBRU', '20170712_21h22')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170402', 'XBRU', '20170712_21h22')
('Monarch Alternative Capital LP', 'Euronav NV', 'BE0003816338', 1.01, '20170402', 'XBRU', '20170712_21h22')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170402', 'XBRU', '20170712_21h22')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.11, '20170402', 'XBRU', '20170712_21h22')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.8, '20170402', 'XBRU', '20170712_21h22')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.2, '20170403', 'XBRU', '20170712_21h22')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.3, '20170403', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 1.11, '20170403', 'XBRU', '20170712_21h22')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.69, '20170403', 'XBRU', '20170712_21h22')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.7, '20170403', 'XBRU', '20170712_21h22')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.67, '20170403', 'XBRU', '20170712_21h22')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 1.24, '20170403', 'XBRU', '20170712_21h22')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.71, '20170403', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.8, '20170403', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Euronav NV', 'BE0003816338', 0.6, '20170403', 'XBRU', '20170712_21h22')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.71, '20170403', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.59, '20170403', 'XBRU', '20170712_21h22')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170403', 'XBRU', '20170712_21h22')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170403', 'XBRU', '20170712_21h22')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170403', 'XBRU', '20170712_21h22')
('Monarch Alternative Capital LP', 'Euronav NV', 'BE0003816338', 1.01, '20170403', 'XBRU', '20170712_21h22')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170403', 'XBRU', '20170712_21h22')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.11, '20170403', 'XBRU', '20170712_21h22')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.8, '20170403', 'XBRU', '20170712_21h22')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.2, '20170404', 'XBRU', '20170712_21h22')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.3, '20170404', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 1.11, '20170404', 'XBRU', '20170712_21h22')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.69, '20170404', 'XBRU', '20170712_21h22')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.7, '20170404', 'XBRU', '20170712_21h22')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.67, '20170404', 'XBRU', '20170712_21h22')
('Systematica Investments Limited', 'Fagron', 'BE0003874915', 0.51, '20170404', 'XBRU', '20170712_21h22')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 1.24, '20170404', 'XBRU', '20170712_21h22')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.71, '20170404', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.8, '20170404', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Euronav NV', 'BE0003816338', 0.6, '20170404', 'XBRU', '20170712_21h22')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.71, '20170404', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.59, '20170404', 'XBRU', '20170712_21h22')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170404', 'XBRU', '20170712_21h22')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170404', 'XBRU', '20170712_21h22')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170404', 'XBRU', '20170712_21h22')
('Monarch Alternative Capital LP', 'Euronav NV', 'BE0003816338', 1.01, '20170404', 'XBRU', '20170712_21h22')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170404', 'XBRU', '20170712_21h22')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.11, '20170404', 'XBRU', '20170712_21h22')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.8, '20170404', 'XBRU', '20170712_21h22')
('Oddo Contrepartie', 'Econocom', 'BE0974266950', 1.2, '20170405', 'XBRU', '20170712_21h22')
('Citadel Advisors LLC', 'Proximus', 'BE0003810273', 1.3, '20170405', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Nyrstar', 'BE0003876936', 1.11, '20170405', 'XBRU', '20170712_21h22')
('Polygon Global  Partners LLP', 'Nyrstar', 'BE0003876936', 0.69, '20170405', 'XBRU', '20170712_21h22')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.7, '20170405', 'XBRU', '20170712_21h22')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.67, '20170405', 'XBRU', '20170712_21h22')
('Systematica Investments Limited', 'Fagron', 'BE0003874915', 0.51, '20170405', 'XBRU', '20170712_21h22')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 1.24, '20170405', 'XBRU', '20170712_21h22')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.71, '20170405', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.8, '20170405', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Euronav NV', 'BE0003816338', 0.6, '20170405', 'XBRU', '20170712_21h22')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.71, '20170405', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.59, '20170405', 'XBRU', '20170712_21h22')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170405', 'XBRU', '20170712_21h22')
('gle.be', 'Ablynx', 'BE0003877942', 1.29, '20170405', 'XBRU', '20170712_21h22')
('Hengistbury Investment Partners LLP', 'Colruyt', 'BE0974256852', 0.52, '20170405', 'XBRU', '20170712_21h22')
('Monarch Alternative Capital LP', 'Euronav NV', 'BE0003816338', 1.01, '20170405', 'XBRU', '20170712_21h22')
('JPMorgan Asset Management (UK) Ltd', 'Nyrstar', 'BE0003876936', 0.7, '20170405', 'XBRU', '20170712_21h22')
('Adelphi Capital LLP', 'Ontex', 'BE0974276082', 1.11, '20170405', 'XBRU', '20170712_21h22')
('AQR Capital Management, LLC', 'Telenet', 'BE0003826436', 0.8, '20170405', 'XBRU', '20170712_21h22')
('GLG PARTNERS LP', 'BPOST', 'BE0974268972', 0.7, '20170406', 'XBRU', '20170712_21h22')
('BNP Paribas SA', 'Econocom', 'BE0974266950', 0.67, '20170406', 'XBRU', '20170712_21h22')
('Systematica Investments Limited', 'Fagron', 'BE0003874915', 0.51, '20170406', 'XBRU', '20170712_21h22')
('BlackRock Institutional Trust Company, National Association', 'Ontex', 'BE0974276082', 0.52, '20170406', 'XBRU', '20170712_21h22')
('BlackRock Institutional Trust Company, National Association', 'Nyrstar', 'BE0003876936', 0.52, '20170406', 'XBRU', '20170712_21h22')
('Och-Ziff Management Europe Ltd.', 'Nyrstar', 'BE0003876936', 1.24, '20170406', 'XBRU', '20170712_21h22')
('Linden Advisors LP', 'Ablynx', 'BE0003877942', 1.71, '20170406', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Ablynx', 'BE0003877942', 0.8, '20170406', 'XBRU', '20170712_21h22')
('Marshall Wace LLP', 'Euronav NV', 'BE0003816338', 0.6, '20170406', 'XBRU', '20170712_21h22')
('Menta Capital LLC', 'Nyrstar', 'BE0003876936', 0.71, '20170406', 'XBRU', '20170712_21h22')
('GSA Capital Partners LLP', 'Celyad', 'BE0974260896', 0.59, '20170406', 'XBRU', '20170712_21h22')
('Adage Capital Management L.P.', 'Solvay SA', 'BE0003470755', 0.71, '20170406', 'XBRU', '20170712_21h22')
