
Importing updates of last 6 months into SourceData : XPAR_PDF.db.
Checking updates from 20170213 and adding to XPAR_PDF.db...

('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.72, '20170810', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.72, '20170810', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'VALLOUREC', 'FR0000120354', 0.51, '20170811', 'XPAR', '20170813_21h32')
('JPMORGAN ASSET MANAGEMENT (UK)LIMITED', 'NEXANS', 'FR0000044448', 0.53, '20170807', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'VALLOUREC', 'FR0000120354', 0.78, '20170804', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'VALLOUREC', 'FR0000120354', 0.63, '20170803', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 'FR0010386334', 0.59, '20170802', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.82, '20170802', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 0.71, '20170731', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'GAZTRANSPORT ET TECHNIGAZ', 'FR0011726835', 1.98, '20170727', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'INGENICO', 'FR0000125346', 0.71, '20170727', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 0.63, '20170726', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.61, '20170727', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 1.08, '20170726', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 'FR0010386334', 0.61, '20170725', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.92, '20170721', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.51, '20170720', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.88, '20170720', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'KORIAN', 'FR0010386334', 0.52, '20170720', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.7, '20170720', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 1.04, '20170719', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.86, '20170718', 'XPAR', '20170813_21h32')
('MYRIAD OPPORTUNITIES MASTER FUNDLIMITED', 'INGENICO', 'FR0000125346', 0.56, '20170719', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 1.1, '20170717', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 0.98, '20170713', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'AIR FRANCE-KLM', 'FR0000031122', 0.73, '20170717', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.96, '20170711', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 1.06, '20170712', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.59, '20170712', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 1.1, '20170710', 'XPAR', '20170813_21h32')
('BOSTON PARTNERS GLOBAL INVESTORSINC', 'TELEVISION FRANCAISE 1', 'FR0000054900', 1.05, '20170707', 'XPAR', '20170813_21h32')
('BLACKROCK INVESTMENT MANAGEMENTUK LIMITED', 'NATUREX', 'FR0000054694', 0.6, '20170710', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.68, '20170705', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.57, '20170705', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.7, '20170704', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.67, '20170703', 'XPAR', '20170813_21h32')
('SUSQUEHANNA INTERNATIONALHOLDINGS LLC', 'CGG', 'FR0013181864', 0.69, '20170703', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.69, '20170703', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.72, '20170630', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.88, '20170628', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.81, '20170628', 'XPAR', '20170813_21h32')
('DAVIDSON KEMPNER EUROPEANPARTNERS, LLP', 'ELIS', 'FR0012435121', 0.69, '20170627', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'NEOPOST S.A.', 'FR0000120560', 0.69, '20170627', 'XPAR', '20170813_21h32')
('OCH-ZIFF MANAGEMENT EUROPELIMITED', 'PIERRE ET VACANCES', 'FR0000073041', 1.98, '20170626', 'XPAR', '20170813_21h32')
('MILLENNIUM INTERNATIONALMANAGEMENT LP', 'GENFIT', 'FR0004163111', 0.7, '20170623', 'XPAR', '20170813_21h32')
