
Importing updates of last 60 months into SourceData : XLIS.db.
Checking updates from 20121118 and adding to XLIS.db...

('ARX INVESTIMENTOS LTDA.', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.51, '20140221', 'XLIS', '20171118_15h06')
('BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.52, '20130530', 'XLIS', '20171118_15h06')
('BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.79, '20130926', 'XLIS', '20171118_15h06')
('BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.8, '20130730', 'XLIS', '20171118_15h06')
('BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.71, '20130724', 'XLIS', '20171118_15h06')
('BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.6, '20130702', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.56, '20140717', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.62, '20140716', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.72, '20140715', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.57, '20140714', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.67, '20140710', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.74, '20140709', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.6, '20140708', 'XLIS', '20171118_15h06')
('BTG PACTUAL EUROPE LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.54, '20140707', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 0.67, '20150619', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.19, '20150618', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.38, '20150617', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.63, '20150616', 'XLIS', '20171118_15h06')
('CHEYNE CAPITAL MANAGEMENT (UK) LLP', 'PHAROL, SGPS, S.A.', 'PTPTC0AM0009', 1.81, '20150615', 'XLIS', '20171118_15h06')
