
Importing updates of last 70 months into SourceData : XBRU.db.
Checking updates from 20120202 and adding to XBRU.db...

('AKO CAPITAL LLP FOR AKO MASTER FUND LIMITED', 'DELHAIZE GROUP', 'BE0003562700', 1.72, '20121217', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131107', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131108', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131109', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131110', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131111', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131112', 'XBRU', '20171202_19h20')
('BNP PARIBAS SA', 'ECONOCOM', 'BE0974266950', 0.8, '20131113', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131031', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131101', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131102', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131103', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131104', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131105', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131106', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131107', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131108', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131109', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131110', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131111', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131112', 'XBRU', '20171202_19h20')
('PICTET ASSET MANAGEMENT SA', 'EVS BROADCASTING', 'BE0003820371', 0.73, '20131113', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121101', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121102', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121103', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121104', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121105', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121106', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121107', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121108', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121109', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121110', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121111', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121112', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121113', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121114', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121115', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121116', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121117', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121118', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121119', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121120', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121121', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121122', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121123', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121124', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121125', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121126', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121127', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121128', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121129', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121130', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121201', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121202', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121203', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121204', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121205', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121206', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121207', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121208', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121209', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121210', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121211', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121212', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121213', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121214', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121215', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121216', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121217', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121218', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121219', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121220', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121221', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121222', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121223', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121224', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121225', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121226', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121227', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121228', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121229', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121230', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20121231', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130101', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130102', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130103', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130104', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130105', 'XBRU', '20171202_19h20')
('ENNISMORE FUND MANAGEMENT LIMITED PLC', 'AGFA-GEVAERT NV', 'BE0003755692', 0.82, '20130106', 'XBRU', '20171202_19h20')
